sex,age,geo,year,population,id
Females,Total,Estonia,1998,750075,367
Females,Total,Estonia,1999,742978,368
Females,Total,Estonia,2000,748170,369
Females,Total,Estonia,2001,743650,370
Females,Total,Estonia,2002,739210,371
Females,Total,Estonia,2003,735200,372
Females,Total,Estonia,2004,730800,373
Females,Total,Estonia,2005,727140,374
Females,Total,Estonia,2006,722770,375
Females,Total,Estonia,2007,718660,376
Females,Total,Estonia,2008,716390,377
Females,Total,Estonia,2009,714420,378
Females,Total,Estonia,2010,712490,379
Females,Total,Estonia,2011,709960,380
Females,Total,Estonia,2012,707079,381
Females,Total,Estonia,2013,704007,382
Females,Total,Estonia,2014,700900,383
Females,Total,Estonia,2015,700166,384
Females,Total,Estonia,2016,699236,385
Females,Total,Estonia,2017,698097,386
Females,Total,Estonia,2018,698049,387
Females,Total,Estonia,2019,699185,388
Females,Total,Estonia,2020,699699,389
Females,Total,Estonia,2021,699153,390
Females,Total,Estonia,2022,698381,391
Females,Total,Estonia,2023,718518,392
Females,Total,Estonia,2024,723074,393
Females,Total,Greece,1995,5347307,394
Females,Total,Greece,1996,5374260,395
Females,Total,Greece,1997,5397100,396
Females,Total,Greece,1998,5429540,397
Females,Total,Greece,1999,5457870,398
Females,Total,Greece,2000,5474106,399
Females,Total,Greece,2001,5505941,400
Females,Total,Greece,2002,5507229,401
Females,Total,Greece,2003,5520990,402
Females,Total,Greece,2004,5534293,403
Females,Total,Greece,2005,5551450,404
Females,Total,Greece,2006,5571325,405
Females,Total,Greece,2007,5593763,406
Females,Total,Greece,2008,5612990,407
Females,Total,Greece,2009,5638650,408
Females,Total,Greece,2010,5658424,409
Females,Total,Greece,2011,5669948,410
Females,Total,Greece,2012,5662522,411
Females,Total,Greece,2013,5637364,412
Females,Total,Greece,2014,5613568,413
Females,Total,Greece,2015,5589628,414
Females,Total,Greece,2016,5559538,415
Females,Total,Greece,2017,5546916,416
Females,Total,Greece,2018,5531125,417
Females,Total,Greece,2019,5516306,418
Females,Total,Greece,2020,5503077,419
Females,Total,Greece,2021,5482584,420
Females,Total,Greece,2022,5345035,421
Females,Total,Greece,2023,5320643,422
Females,Total,Greece,2024,5303827,423
